10.0.1.10,10.0.3.10,6,50998,57813,s1-eth1,s1-eth4
10.0.5.10,10.0.2.10,6,51108,57552,s5-eth1,s5-eth3
10.0.3.10,10.0.5.10,6,56194,57335,s3-eth1,s3-eth4
10.0.7.10,10.0.6.10,6,57267,58270,s7-eth1,s7-eth3
10.0.2.10,10.0.5.10,6,34468,57425,s2-eth1,s2-eth4
10.0.8.10,10.0.5.10,6,57858,35464,s8-eth1,s8-eth3
10.0.1.10,10.0.2.10,6,58000,57112,s1-eth1,s1-eth4
10.0.4.10,10.0.1.10,6,57314,45316,s4-eth1,s4-eth4
10.0.6.10,10.0.2.10,6,57174,57162,s6-eth1,s6-eth3
10.0.7.10,10.0.1.10,6,57817,35556,s7-eth1,s7-eth3
10.0.5.10,10.0.4.10,6,57445,50768,s5-eth1,s5-eth3
10.0.4.10,10.0.3.10,6,45684,57643,s4-eth1,s4-eth4
10.0.8.10,10.0.4.10,6,38606,57184,s8-eth1,s8-eth3
10.0.3.10,10.0.2.10,6,57923,34400,s3-eth1,s3-eth4
10.0.1.10,10.0.2.10,6,57221,53206,s1-eth1,s1-eth4
10.0.2.10,10.0.4.10,6,53508,57924,s2-eth1,s2-eth4
10.0.6.10,10.0.5.10,6,51104,57165,s6-eth1,s6-eth3
10.0.3.10,10.0.8.10,6,43826,57038,s3-eth1,s3-eth4
10.0.4.10,10.0.8.10,6,43864,57048,s4-eth1,s4-eth4
10.0.7.10,10.0.4.10,6,33442,57674,s7-eth1,s7-eth3
10.0.8.10,10.0.7.10,6,57878,50888,s8-eth1,s8-eth3
10.0.1.10,10.0.2.10,6,36246,57412,s1-eth1,s1-eth4
10.0.5.10,10.0.4.10,6,33160,57554,s5-eth1,s5-eth3
10.0.6.10,10.0.5.10,6,53650,57565,s6-eth1,s6-eth3
10.0.2.10,10.0.1.10,6,41950,57621,s2-eth1,s2-eth4
10.0.8.10,10.0.6.10,6,46064,57386,s8-eth1,s8-eth3
10.0.1.10,10.0.6.10,6,56886,57416,s1-eth1,s1-eth4
10.0.3.10,10.0.8.10,6,57083,50140,s3-eth1,s3-eth4
10.0.7.10,10.0.3.10,6,57337,48996,s7-eth1,s7-eth3
10.0.4.10,10.0.5.10,6,51700,57145,s4-eth1,s4-eth4
10.0.2.10,10.0.5.10,6,42312,57625,s2-eth1,s2-eth4
10.0.6.10,10.0.3.10,6,50286,57063,s6-eth1,s6-eth3
10.0.5.10,10.0.2.10,6,57325,55310,s5-eth1,s5-eth3
10.0.8.10,10.0.4.10,6,43378,57884,s8-eth1,s8-eth3
10.0.3.10,10.0.4.10,6,54178,57634,s3-eth1,s3-eth4
10.0.1.10,10.0.4.10,6,59578,57814,s1-eth1,s1-eth4
10.0.7.10,10.0.4.10,6,48280,57474,s7-eth1,s7-eth3
10.0.2.10,10.0.6.10,6,45822,57426,s2-eth1,s2-eth4
10.0.4.10,10.0.7.10,6,57174,52336,s4-eth1,s4-eth4
10.0.5.10,10.0.7.10,6,38044,57157,s5-eth1,s5-eth3
10.0.3.10,10.0.1.10,6,46686,57831,s3-eth1,s3-eth4
10.0.6.10,10.0.3.10,6,49640,57363,s6-eth1,s6-eth3
10.0.1.10,10.0.4.10,6,40080,57014,s1-eth1,s1-eth4
10.0.8.10,10.0.3.10,6,35102,57083,s8-eth1,s8-eth3
10.0.5.10,10.0.7.10,6,58176,57357,s5-eth1,s5-eth3
10.0.7.10,10.0.8.10,6,46464,57278,s7-eth1,s7-eth3
10.0.4.10,10.0.6.10,6,52546,57446,s4-eth1,s4-eth4
10.0.1.10,10.0.4.10,6,51360,57414,s1-eth1,s1-eth4
10.0.3.10,10.0.4.10,6,41360,57934,s3-eth1,s3-eth4
10.0.2.10,10.0.6.10,6,57062,53376,s2-eth1,s2-eth4
10.0.6.10,10.0.4.10,6,37200,57664,s6-eth1,s6-eth3
10.0.8.10,10.0.3.10,6,57038,43826,s8-eth1,s8-eth3
10.0.5.10,10.0.8.10,6,60570,57858,s5-eth1,s5-eth3
10.0.7.10,10.0.8.10,6,32900,57878,s7-eth1,s7-eth3
10.0.3.10,10.0.1.10,6,57813,50998,s3-eth1,s3-eth4
10.0.1.10,10.0.2.10,6,54016,57612,s1-eth1,s1-eth4
10.0.2.10,10.0.3.10,6,59068,57823,s2-eth1,s2-eth4
10.0.4.10,10.0.8.10,6,47342,57648,s4-eth1,s4-eth4
10.0.7.10,10.0.5.10,6,57357,58176,s7-eth1,s7-eth3
10.0.3.10,10.0.6.10,6,58296,57736,s3-eth1,s3-eth4
10.0.6.10,10.0.7.10,6,54304,57667,s6-eth1,s6-eth3
10.0.1.10,10.0.3.10,6,57831,46686,s1-eth1,s1-eth4
10.0.8.10,10.0.7.10,6,57278,46464,s8-eth1,s8-eth3
10.0.5.10,10.0.2.10,6,57625,42312,s5-eth1,s5-eth3
10.0.2.10,10.0.4.10,6,39134,57724,s2-eth1,s2-eth4
10.0.7.10,10.0.3.10,6,57896,57073,s7-eth1,s7-eth3
10.0.6.10,10.0.4.10,6,41940,57564,s6-eth1,s6-eth3
10.0.8.10,10.0.7.10,6,57878,32900,s8-eth1,s8-eth3
10.0.1.10,10.0.5.10,6,34664,57415,s1-eth1,s1-eth4
10.0.4.10,10.0.8.10,6,49696,57148,s4-eth1,s4-eth4
10.0.3.10,10.0.2.10,6,45744,57232,s3-eth1,s3-eth4
10.0.2.10,10.0.7.10,6,57272,56406,s2-eth1,s2-eth4
10.0.5.10,10.0.1.10,6,40734,57651,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57858,60570,s8-eth1,s8-eth3
10.0.7.10,10.0.5.10,6,57157,38044,s7-eth1,s7-eth3
10.0.3.10,10.0.2.10,6,54952,57732,s3-eth1,s3-eth4
10.0.6.10,10.0.8.10,6,57386,46064,s6-eth1,s6-eth3
10.0.8.10,10.0.7.10,6,48770,57287,s8-eth1,s8-eth3
10.0.1.10,10.0.8.10,6,52624,57118,s1-eth1,s1-eth4
10.0.7.10,10.0.6.10,6,57667,54304,s7-eth1,s7-eth3
10.0.4.10,10.0.7.10,6,37804,57447,s4-eth1,s4-eth4
10.0.5.10,10.0.1.10,6,40222,57051,s5-eth1,s5-eth3
10.0.2.10,10.0.6.10,6,52436,57226,s2-eth1,s2-eth4
10.0.6.10,10.0.2.10,6,34196,57962,s6-eth1,s6-eth3
10.0.7.10,10.0.1.10,6,38662,57771,s7-eth1,s7-eth3
10.0.3.10,10.0.7.10,6,60974,57637,s3-eth1,s3-eth4
10.0.8.10,10.0.2.10,6,59638,57882,s8-eth1,s8-eth3
10.0.5.10,10.0.7.10,6,47610,57357,s5-eth1,s5-eth3
10.0.1.10,10.0.8.10,6,48622,57618,s1-eth1,s1-eth4
10.0.4.10,10.0.1.10,6,36648,57641,s4-eth1,s4-eth4
10.0.2.10,10.0.4.10,6,37142,57124,s2-eth1,s2-eth4
10.0.7.10,10.0.5.10,6,51032,57375,s7-eth1,s7-eth3
10.0.6.10,10.0.2.10,6,57426,45822,s6-eth1,s6-eth3
10.0.8.10,10.0.3.10,6,34720,57983,s8-eth1,s8-eth3
10.0.3.10,10.0.6.10,6,57063,50286,s3-eth1,s3-eth4
10.0.5.10,10.0.1.10,6,57415,34664,s5-eth1,s5-eth3
10.0.2.10,10.0.1.10,6,57912,59940,s2-eth1,s2-eth4
10.0.4.10,10.0.2.10,6,36002,57442,s4-eth1,s4-eth4
10.0.7.10,10.0.8.10,6,37746,57278,s7-eth1,s7-eth3
10.0.2.10,10.0.1.10,6,57112,58000,s2-eth1,s2-eth4
10.0.8.10,10.0.5.10,6,44738,57185,s8-eth1,s8-eth3
10.0.3.10,10.0.8.10,6,57083,35102,s3-eth1,s3-eth4
10.0.6.10,10.0.1.10,6,57416,56886,s6-eth1,s6-eth3
10.0.4.10,10.0.8.10,6,57184,38606,s4-eth1,s4-eth4
10.0.5.10,10.0.2.10,6,52140,57952,s5-eth1,s5-eth3
10.0.7.10,10.0.8.10,6,33284,57978,s7-eth1,s7-eth3
10.0.2.10,10.0.4.10,6,52172,57224,s2-eth1,s2-eth4
10.0.5.10,10.0.2.10,6,46608,57152,s5-eth1,s5-eth3
10.0.6.10,10.0.3.10,6,34436,57963,s6-eth1,s6-eth3
10.0.2.10,10.0.3.10,6,35776,57923,s2-eth1,s2-eth4
10.0.3.10,10.0.8.10,6,45982,57038,s3-eth1,s3-eth4
10.0.4.10,10.0.6.10,6,34782,57646,s4-eth1,s4-eth4
10.0.6.10,10.0.5.10,6,47788,57365,s6-eth1,
