Series;Time;Value
NSW-IX;2018-09-01-19:55:00;117530824662.42781
NSW-IX;2018-09-01-20:00:00;119081658851.60513
NSW-IX;2018-09-01-20:05:00;120305035646.1058
NSW-IX;2018-09-01-20:10:00;122037523639.21455
NSW-IX;2018-09-01-20:15:00;123652653660.68745
NSW-IX;2018-09-01-20:20:00;125078884969.86678
NSW-IX;2018-09-01-20:25:00;125993598509.73026
NSW-IX;2018-09-01-20:30:00;126980112170.10966
NSW-IX;2018-09-01-20:35:00;127571890712.1511
NSW-IX;2018-09-01-20:40:00;127971962054.49173
NSW-IX;2018-09-01-20:45:00;128563349042.4628
NSW-IX;2018-09-01-20:50:00;129100020563.8239
NSW-IX;2018-09-01-20:55:00;129795501733.51237
NSW-IX;2018-09-01-21:00:00;130889708193.47617
NSW-IX;2018-09-01-21:05:00;132191454582.4791
NSW-IX;2018-09-01-21:10:00;133216230203.84695
NSW-IX;2018-09-01-21:15:00;133637069120.88896
NSW-IX;2018-09-01-21:20:00;133833967306.7185
NSW-IX;2018-09-01-21:25:00;133889729686.4517
NSW-IX;2018-09-01-21:30:00;134113168366.12695
NSW-IX;2018-09-01-21:35:00;134580804537.35916
NSW-IX;2018-09-01-21:40:00;135604233816.62512
NSW-IX;2018-09-01-21:45:00;136900835491.31648
NSW-IX;2018-09-01-21:50:00;137724518487.4955
NSW-IX;2018-09-01-21:55:00;138238972734.07123
NSW-IX;2018-09-01-22:00:00;138610199129.5956
NSW-IX;2018-09-01-22:05:00;138920364499.73178
NSW-IX;2018-09-01-22:10:00;138752511496.70294
NSW-IX;2018-09-01-22:15:00;138912576297.08682
NSW-IX;2018-09-01-22:20:00;139261751285.4401
NSW-IX;2018-09-01-22:25:00;139702865437.02243
NSW-IX;2018-09-01-22:30:00;140156339723.61856
NSW-IX;2018-09-01-22:35:00;140628790812.71448
NSW-IX;2018-09-01-22:40:00;141456506806.38214
NSW-IX;2018-09-01-22:45:00;142281053852.64075
NSW-IX;2018-09-01-22:50:00;143008957206.06747
NSW-IX;2018-09-01-22:55:00;143613603987.59744
NSW-IX;2018-09-01-23:00:00;144646225569.95874
NSW-IX;2018-09-01-23:05:00;145040791349.35385
NSW-IX;2018-09-01-23:10:00;145219072065.50366
NSW-IX;2018-09-01-23:15:00;145276446281.88507
NSW-IX;2018-09-01-23:20:00;145471449008.1466
NSW-IX;2018-09-01-23:25:00;145450274872.29517
NSW-IX;2018-09-01-23:30:00;145682382384.81473
NSW-IX;2018-09-01-23:35:00;145635416332.6447
NSW-IX;2018-09-01-23:40:00;145562405284.17758
NSW-IX;2018-09-01-23:45:00;145771702301.05792
NSW-IX;2018-09-01-23:50:00;146052487407.05463
NSW-IX;2018-09-01-23:55:00;146316231830.31317
NSW-IX;2018-09-02-00:00:00;146846280469.63336
